epoch,mean_best,std_best,min_best,max_best
0,397146.5653780741,0.0,397146.5653780741,397146.5653780741
1,111062.67818480333,0.0,111062.67818480333,111062.67818480333
2,47507.702808027556,0.0,47507.702808027556,47507.702808027556
3,1060.3330704054467,0.0,1060.3330704054467,1060.3330704054467
4,458.818853568296,0.0,458.818853568296,458.818853568296
5,21.531568923670584,0.0,21.531568923670584,21.531568923670584
6,21.531568923670584,0.0,21.531568923670584,21.531568923670584
7,10.88508201232754,0.0,10.88508201232754,10.88508201232754
8,2.6572971428588033,0.0,2.6572971428588033,2.6572971428588033
9,1.2373411451222747,0.0,1.2373411451222747,1.2373411451222747
10,0.5190643862388866,0.0,0.5190643862388866,0.5190643862388866
11,0.14381367698302525,0.0,0.14381367698302525,0.14381367698302525
12,0.1311435023696858,0.0,0.1311435023696858,0.1311435023696858
13,0.06212736029493256,0.0,0.06212736029493256,0.06212736029493256
14,0.03167518444732452,0.0,0.03167518444732452,0.03167518444732452
15,0.012005892785052126,0.0,0.012005892785052126,0.012005892785052126
16,0.009558823489914227,0.0,0.009558823489914227,0.009558823489914227
17,0.007134805869479146,0.0,0.007134805869479146,0.007134805869479146
18,0.002609118202632614,0.0,0.002609118202632614,0.002609118202632614
19,0.0014509252781912392,0.0,0.0014509252781912392,0.0014509252781912392
20,0.0014509252781912392,0.0,0.0014509252781912392,0.0014509252781912392
21,0.0007028582339608076,0.0,0.0007028582339608076,0.0007028582339608076
22,0.000246466945893525,0.0,0.000246466945893525,0.000246466945893525
23,0.00019486914634994127,0.0,0.00019486914634994127,0.00019486914634994127
24,0.00012399143905495396,0.0,0.00012399143905495396,0.00012399143905495396
25,2.9830934616435474e-05,0.0,2.9830934616435474e-05,2.9830934616435474e-05
26,2.9830934616435474e-05,0.0,2.9830934616435474e-05,2.9830934616435474e-05
27,2.630588319395823e-05,0.0,2.630588319395823e-05,2.630588319395823e-05
28,1.635136038337012e-05,0.0,1.635136038337012e-05,1.635136038337012e-05
29,1.0089106824995518e-05,0.0,1.0089106824995518e-05,1.0089106824995518e-05
30,1.0089106824995518e-05,0.0,1.0089106824995518e-05,1.0089106824995518e-05
31,6.910600949512337e-06,0.0,6.910600949512337e-06,6.910600949512337e-06
32,6.482124784410407e-06,0.0,6.482124784410407e-06,6.482124784410407e-06
33,5.232421829419186e-06,0.0,5.232421829419186e-06,5.232421829419186e-06
34,2.010997114934127e-06,0.0,2.010997114934127e-06,2.010997114934127e-06
35,2.010997114934127e-06,0.0,2.010997114934127e-06,2.010997114934127e-06
36,1.8422486905395428e-06,0.0,1.8422486905395428e-06,1.8422486905395428e-06
37,1.2172020380686837e-06,0.0,1.2172020380686837e-06,1.2172020380686837e-06
38,9.496354056203915e-07,0.0,9.496354056203915e-07,9.496354056203915e-07
39,6.46736723195792e-07,0.0,6.46736723195792e-07,6.46736723195792e-07
40,4.3105585744811034e-07,0.0,4.3105585744811034e-07,4.3105585744811034e-07
41,3.656716135094734e-07,0.0,3.656716135094734e-07,3.656716135094734e-07
42,2.6043355469623354e-07,0.0,2.6043355469623354e-07,2.6043355469623354e-07
43,2.31602590342164e-07,0.0,2.31602590342164e-07,2.31602590342164e-07
44,1.403408445710037e-07,0.0,1.403408445710037e-07,1.403408445710037e-07
45,1.1560347439841975e-07,0.0,1.1560347439841975e-07,1.1560347439841975e-07
46,8.124126816332047e-08,0.0,8.124126816332047e-08,8.124126816332047e-08
47,6.855633078597153e-08,0.0,6.855633078597153e-08,6.855633078597153e-08
48,5.5290323785876025e-08,0.0,5.5290323785876025e-08,5.5290323785876025e-08
49,3.3564873673740434e-08,0.0,3.3564873673740434e-08,3.3564873673740434e-08
50,2.972884461362355e-08,0.0,2.972884461362355e-08,2.972884461362355e-08
51,2.489884383054865e-08,0.0,2.489884383054865e-08,2.489884383054865e-08
52,1.9693292684393446e-08,0.0,1.9693292684393446e-08,1.9693292684393446e-08
53,1.3336801103540851e-08,0.0,1.3336801103540851e-08,1.3336801103540851e-08
54,9.019914651475057e-09,0.0,9.019914651475057e-09,9.019914651475057e-09
55,6.843086989758361e-09,0.0,6.843086989758361e-09,6.843086989758361e-09
56,4.456434365169482e-09,0.0,4.456434365169482e-09,4.456434365169482e-09
57,3.665829201161922e-09,0.0,3.665829201161922e-09,3.665829201161922e-09
58,2.5916672704103433e-09,0.0,2.5916672704103433e-09,2.5916672704103433e-09
59,2.279327946868478e-09,0.0,2.279327946868478e-09,2.279327946868478e-09
60,1.4454499939439744e-09,0.0,1.4454499939439744e-09,1.4454499939439744e-09
61,1.4363725391263139e-09,0.0,1.4363725391263139e-09,1.4363725391263139e-09
62,1.3910447086308085e-09,0.0,1.3910447086308085e-09,1.3910447086308085e-09
63,1.3067258677093385e-09,0.0,1.3067258677093385e-09,1.3067258677093385e-09
64,1.2310577579139481e-09,0.0,1.2310577579139481e-09,1.2310577579139481e-09
65,7.289793744738988e-10,0.0,7.289793744738988e-10,7.289793744738988e-10
66,4.6268675223435295e-10,0.0,4.6268675223435295e-10,4.6268675223435295e-10
67,2.728195009339216e-10,0.0,2.728195009339216e-10,2.728195009339216e-10
68,2.2318283954915964e-10,0.0,2.2318283954915964e-10,2.2318283954915964e-10
69,1.8301624940811603e-10,0.0,1.8301624940811603e-10,1.8301624940811603e-10
70,1.2434204312979304e-10,0.0,1.2434204312979304e-10,1.2434204312979304e-10
71,1.160182864350032e-10,0.0,1.160182864350032e-10,1.160182864350032e-10
72,9.829308230550312e-11,0.0,9.829308230550312e-11,9.829308230550312e-11
73,5.6832438349274523e-11,0.0,5.6832438349274523e-11,5.6832438349274523e-11
74,5.258515920453523e-11,0.0,5.258515920453523e-11,5.258515920453523e-11
75,4.700630873317611e-11,0.0,4.700630873317611e-11,4.700630873317611e-11
76,4.383860108833244e-11,0.0,4.383860108833244e-11,4.383860108833244e-11
77,4.163018633401737e-11,0.0,4.163018633401737e-11,4.163018633401737e-11
78,4.0538804754535366e-11,0.0,4.0538804754535366e-11,4.0538804754535366e-11
79,3.9905750725923266e-11,0.0,3.9905750725923266e-11,3.9905750725923266e-11
80,9.266673109517443e-12,0.0,9.266673109517443e-12,9.266673109517443e-12
81,9.266673109517443e-12,0.0,9.266673109517443e-12,9.266673109517443e-12
82,8.538876634692609e-12,0.0,8.538876634692609e-12,8.538876634692609e-12
83,7.51303725579801e-12,0.0,7.51303725579801e-12,7.51303725579801e-12
