epoch,mean_best,std_best,min_best,max_best
0,0.5689537047643842,0.0,0.5689537047643842,0.5689537047643842
1,0.11782524039864418,0.0,0.11782524039864418,0.11782524039864418
2,0.03985341075758606,0.0,0.03985341075758606,0.03985341075758606
3,0.013337008351380785,0.0,0.013337008351380785,0.013337008351380785
4,0.0068613022180666,0.0,0.0068613022180666,0.0068613022180666
5,0.0017851826585644054,0.0,0.0017851826585644054,0.0017851826585644054
6,0.0008456646537402101,0.0,0.0008456646537402101,0.0008456646537402101
7,0.000511986791671055,0.0,0.000511986791671055,0.000511986791671055
8,0.0002304941445923579,0.0,0.0002304941445923579,0.0002304941445923579
9,9.806906098900062e-05,0.0,9.806906098900062e-05,9.806906098900062e-05
10,7.194885384831282e-05,0.0,7.194885384831282e-05,7.194885384831282e-05
11,5.1566691394625695e-05,0.0,5.1566691394625695e-05,5.1566691394625695e-05
12,1.796254306988267e-05,0.0,1.796254306988267e-05,1.796254306988267e-05
13,8.40147711091319e-06,0.0,8.40147711091319e-06,8.40147711091319e-06
14,5.882524083032564e-06,0.0,5.882524083032564e-06,5.882524083032564e-06
15,4.8907269122599695e-06,0.0,4.8907269122599695e-06,4.8907269122599695e-06
16,2.5584872186536428e-06,0.0,2.5584872186536428e-06,2.5584872186536428e-06
17,1.2385630404821962e-06,0.0,1.2385630404821962e-06,1.2385630404821962e-06
18,1.2385630404821962e-06,0.0,1.2385630404821962e-06,1.2385630404821962e-06
19,4.20448711295277e-07,0.0,4.20448711295277e-07,4.20448711295277e-07
20,3.061035905384371e-07,0.0,3.061035905384371e-07,3.061035905384371e-07
21,2.6858173505708656e-07,0.0,2.6858173505708656e-07,2.6858173505708656e-07
22,1.8122536646998437e-07,0.0,1.8122536646998437e-07,1.8122536646998437e-07
23,1.617196957657009e-07,0.0,1.617196957657009e-07,1.617196957657009e-07
24,1.168536044473937e-07,0.0,1.168536044473937e-07,1.168536044473937e-07
25,1.8633531795825004e-08,0.0,1.8633531795825004e-08,1.8633531795825004e-08
26,1.8214042238445e-08,0.0,1.8214042238445e-08,1.8214042238445e-08
27,1.4237206710785087e-08,0.0,1.4237206710785087e-08,1.4237206710785087e-08
28,7.863926556838424e-09,0.0,7.863926556838424e-09,7.863926556838424e-09
29,5.689441001402248e-09,0.0,5.689441001402248e-09,5.689441001402248e-09
30,3.1453580905861145e-09,0.0,3.1453580905861145e-09,3.1453580905861145e-09
31,2.920014353933202e-09,0.0,2.920014353933202e-09,2.920014353933202e-09
32,2.5773537743113667e-09,0.0,2.5773537743113667e-09,2.5773537743113667e-09
33,1.9319400472743715e-09,0.0,1.9319400472743715e-09,1.9319400472743715e-09
34,1.9319400472743715e-09,0.0,1.9319400472743715e-09,1.9319400472743715e-09
35,1.0436458041998914e-09,0.0,1.0436458041998914e-09,1.0436458041998914e-09
36,4.792131741106883e-10,0.0,4.792131741106883e-10,4.792131741106883e-10
37,4.792131741106882e-10,0.0,4.792131741106882e-10,4.792131741106882e-10
38,1.3235015931965811e-10,0.0,1.3235015931965811e-10,1.3235015931965811e-10
39,1.3235015931965811e-10,0.0,1.3235015931965811e-10,1.3235015931965811e-10
40,5.4254447838329684e-11,0.0,5.4254447838329684e-11,5.4254447838329684e-11
41,5.4254447838329684e-11,0.0,5.4254447838329684e-11,5.4254447838329684e-11
42,5.4254447838329684e-11,0.0,5.4254447838329684e-11,5.4254447838329684e-11
43,2.889490622496188e-11,0.0,2.889490622496188e-11,2.889490622496188e-11
44,1.5358244096690127e-11,0.0,1.5358244096690127e-11,1.5358244096690127e-11
45,1.5273986884809345e-11,0.0,1.5273986884809345e-11,1.5273986884809345e-11
46,1.513061937750063e-11,0.0,1.513061937750063e-11,1.513061937750063e-11
47,1.3619218704616269e-11,0.0,1.3619218704616269e-11,1.3619218704616269e-11
48,8.458886254025772e-12,0.0,8.458886254025772e-12,8.458886254025772e-12
49,6.708877787884588e-12,0.0,6.708877787884588e-12,6.708877787884588e-12
50,3.0735793311522086e-12,0.0,3.0735793311522086e-12,3.0735793311522086e-12
51,3.0735793311522086e-12,0.0,3.0735793311522086e-12,3.0735793311522086e-12
52,1.762445224792301e-12,0.0,1.762445224792301e-12,1.762445224792301e-12
53,1.762445224792301e-12,0.0,1.762445224792301e-12,1.762445224792301e-12
54,1.5968167571058421e-12,0.0,1.5968167571058421e-12,1.5968167571058421e-12
55,1.0013102328375468e-12,0.0,1.0013102328375468e-12,1.0013102328375468e-12
56,9.951672289094732e-13,0.0,9.951672289094732e-13,9.951672289094732e-13
57,6.643361330732204e-13,0.0,6.643361330732204e-13,6.643361330732204e-13
58,5.242617858029773e-13,0.0,5.242617858029773e-13,5.242617858029773e-13
59,4.1310416109555077e-13,0.0,4.1310416109555077e-13,4.1310416109555077e-13
60,2.891037389958147e-13,0.0,2.891037389958147e-13,2.891037389958147e-13
61,1.8786497808665878e-13,0.0,1.8786497808665878e-13,1.8786497808665878e-13
62,1.1626933299678092e-13,0.0,1.1626933299678092e-13,1.1626933299678092e-13
63,5.864864929678024e-14,0.0,5.864864929678024e-14,5.864864929678024e-14
64,2.478947951252568e-14,0.0,2.478947951252568e-14,2.478947951252568e-14
65,2.1490702478732e-14,0.0,2.1490702478732e-14,2.1490702478732e-14
66,1.542221197708227e-14,0.0,1.542221197708227e-14,1.542221197708227e-14
67,1.1473417630366736e-14,0.0,1.1473417630366736e-14,1.1473417630366736e-14
68,1.0190098599013203e-14,0.0,1.0190098599013203e-14,1.0190098599013203e-14
69,7.10980991311749e-15,0.0,7.10980991311749e-15,7.10980991311749e-15
70,6.177192151317657e-15,0.0,6.177192151317657e-15,6.177192151317657e-15
71,4.995186905550212e-15,0.0,4.995186905550212e-15,4.995186905550212e-15
72,3.630499260828278e-15,0.0,3.630499260828278e-15,3.630499260828278e-15
73,2.47911177430601e-15,0.0,2.47911177430601e-15,2.47911177430601e-15
74,1.7733299832537469e-15,0.0,1.7733299832537469e-15,1.7733299832537469e-15
75,6.196906290016789e-16,0.0,6.196906290016789e-16,6.196906290016789e-16
76,3.0271069832448223e-16,0.0,3.0271069832448223e-16,3.0271069832448223e-16
77,2.8571416907665897e-16,0.0,2.8571416907665897e-16,2.8571416907665897e-16
78,1.3025360333263713e-16,0.0,1.3025360333263713e-16,1.3025360333263713e-16
79,8.712982545225784e-17,0.0,8.712982545225784e-17,8.712982545225784e-17
80,6.876776125458283e-17,0.0,6.876776125458283e-17,6.876776125458283e-17
81,4.872254037697325e-17,0.0,4.872254037697325e-17,4.872254037697325e-17
82,3.1905361456618393e-17,0.0,3.1905361456618393e-17,3.1905361456618393e-17
83,1.0359701269241541e-17,0.0,1.0359701269241541e-17,1.0359701269241541e-17
84,8.294419366837324e-18,0.0,8.294419366837324e-18,8.294419366837324e-18
85,3.753292970234248e-18,0.0,3.753292970234248e-18,3.753292970234248e-18
86,2.87441726071081e-18,0.0,2.87441726071081e-18,2.87441726071081e-18
87,2.481974914703474e-18,0.0,2.481974914703474e-18,2.481974914703474e-18
88,1.7114616126661815e-18,0.0,1.7114616126661815e-18,1.7114616126661815e-18
89,1.4792304794590442e-18,0.0,1.4792304794590442e-18,1.4792304794590442e-18
90,1.417615286860647e-18,0.0,1.417615286860647e-18,1.417615286860647e-18
91,9.623604716649932e-19,0.0,9.623604716649932e-19,9.623604716649932e-19
92,9.408993419294373e-19,0.0,9.408993419294373e-19,9.408993419294373e-19
93,6.728464031115983e-19,0.0,6.728464031115983e-19,6.728464031115983e-19
94,4.786683642404042e-19,0.0,4.786683642404042e-19,4.786683642404042e-19
95,2.927932557518514e-19,0.0,2.927932557518514e-19,2.927932557518514e-19
96,1.9420307557314825e-19,0.0,1.9420307557314825e-19,1.9420307557314825e-19
97,1.927049894591083e-19,0.0,1.927049894591083e-19,1.927049894591083e-19
98,1.5643736194510823e-19,0.0,1.5643736194510823e-19,1.5643736194510823e-19
99,1.07590424231713e-19,0.0,1.07590424231713e-19,1.07590424231713e-19
100,8.183366985104754e-20,0.0,8.183366985104754e-20,8.183366985104754e-20
101,2.7246521670090896e-20,0.0,2.7246521670090896e-20,2.7246521670090896e-20
102,2.7246521670090896e-20,0.0,2.7246521670090896e-20,2.7246521670090896e-20
103,2.7246521670090896e-20,0.0,2.7246521670090896e-20,2.7246521670090896e-20
104,2.7149061671141074e-20,0.0,2.7149061671141074e-20,2.7149061671141074e-20
105,1.8705564691406158e-20,0.0,1.8705564691406158e-20,1.8705564691406158e-20
106,1.4978957024693395e-20,0.0,1.4978957024693395e-20,1.4978957024693395e-20
107,1.0957312058442467e-20,0.0,1.0957312058442467e-20,1.0957312058442467e-20
108,9.770259444454376e-21,0.0,9.770259444454376e-21,9.770259444454376e-21
109,4.4065268266658694e-21,0.0,4.4065268266658694e-21,4.4065268266658694e-21
110,3.519952970101628e-21,0.0,3.519952970101628e-21,3.519952970101628e-21
111,2.9982873796841968e-21,0.0,2.9982873796841968e-21,2.9982873796841968e-21
112,2.6654868552047424e-21,0.0,2.6654868552047424e-21,2.6654868552047424e-21
113,2.3611564653720055e-21,0.0,2.3611564653720055e-21,2.3611564653720055e-21
114,1.6135130370544109e-21,0.0,1.6135130370544109e-21,1.6135130370544109e-21
115,1.1853756139721473e-21,0.0,1.1853756139721473e-21,1.1853756139721473e-21
116,9.17162870787914e-22,0.0,9.17162870787914e-22,9.17162870787914e-22
117,7.4850624110843345e-22,0.0,7.4850624110843345e-22,7.4850624110843345e-22
118,5.799228734570355e-22,0.0,5.799228734570355e-22,5.799228734570355e-22
119,4.303523554644516e-22,0.0,4.303523554644516e-22,4.303523554644516e-22
120,3.057463050785015e-22,0.0,3.057463050785015e-22,3.057463050785015e-22
121,2.0454314088416995e-22,0.0,2.0454314088416995e-22,2.0454314088416995e-22
122,1.757952087546713e-22,0.0,1.757952087546713e-22,1.757952087546713e-22
123,1.2061799765496855e-22,0.0,1.2061799765496855e-22,1.2061799765496855e-22
124,1.2061799765496855e-22,0.0,1.2061799765496855e-22,1.2061799765496855e-22
125,8.674079620893109e-23,0.0,8.674079620893109e-23,8.674079620893109e-23
126,6.419535423313239e-23,0.0,6.419535423313239e-23,6.419535423313239e-23
127,6.301796394597918e-23,0.0,6.301796394597918e-23,6.301796394597918e-23
128,4.706810393808988e-23,0.0,4.706810393808988e-23,4.706810393808988e-23
129,2.8717806763810415e-23,0.0,2.8717806763810415e-23,2.8717806763810415e-23
130,2.4721851110583072e-23,0.0,2.4721851110583072e-23,2.4721851110583072e-23
131,1.5125399350671175e-23,0.0,1.5125399350671175e-23,1.5125399350671175e-23
132,1.4407481081558556e-23,0.0,1.4407481081558556e-23,1.4407481081558556e-23
133,9.58619099174058e-24,0.0,9.58619099174058e-24,9.58619099174058e-24
134,8.735346193628065e-24,0.0,8.735346193628065e-24,8.735346193628065e-24
135,7.304487894347796e-24,0.0,7.304487894347796e-24,7.304487894347796e-24
136,6.733988320051152e-24,0.0,6.733988320051152e-24,6.733988320051152e-24
137,5.3720367200366394e-24,0.0,5.3720367200366394e-24,5.3720367200366394e-24
138,3.515093668825373e-24,0.0,3.515093668825373e-24,3.515093668825373e-24
139,2.5899734070295443e-24,0.0,2.5899734070295443e-24,2.5899734070295443e-24
140,2.3581682631002436e-24,0.0,2.3581682631002436e-24,2.3581682631002436e-24
141,1.701996220615752e-24,0.0,1.701996220615752e-24,1.701996220615752e-24
142,1.3874550102705662e-24,0.0,1.3874550102705662e-24,1.3874550102705662e-24
143,1.0792453369955017e-24,0.0,1.0792453369955017e-24,1.0792453369955017e-24
144,1.0080966289672116e-24,0.0,1.0080966289672116e-24,1.0080966289672116e-24
145,6.405254694786756e-25,0.0,6.405254694786756e-25,6.405254694786756e-25
146,6.405254694786756e-25,0.0,6.405254694786756e-25,6.405254694786756e-25
147,3.1284821138489307e-25,0.0,3.1284821138489307e-25,3.1284821138489307e-25
148,2.72733932488671e-25,0.0,2.72733932488671e-25,2.72733932488671e-25
149,2.1884331712034325e-25,0.0,2.1884331712034325e-25,2.1884331712034325e-25
150,1.3869015558509295e-25,0.0,1.3869015558509295e-25,1.3869015558509295e-25
151,9.025581431743724e-26,0.0,9.025581431743724e-26,9.025581431743724e-26
152,5.355489914527826e-26,0.0,5.355489914527826e-26,5.355489914527826e-26
153,5.1041773730025103e-26,0.0,5.1041773730025103e-26,5.1041773730025103e-26
154,3.423166741163531e-26,0.0,3.423166741163531e-26,3.423166741163531e-26
155,2.760442720773749e-26,0.0,2.760442720773749e-26,2.760442720773749e-26
156,2.129512069742392e-26,0.0,2.129512069742392e-26,2.129512069742392e-26
157,1.6921327439707152e-26,0.0,1.6921327439707152e-26,1.6921327439707152e-26
158,9.1148234053779e-27,0.0,9.1148234053779e-27,9.1148234053779e-27
159,6.823139132776117e-27,0.0,6.823139132776117e-27,6.823139132776117e-27
160,5.927718856863485e-27,0.0,5.927718856863485e-27,5.927718856863485e-27
161,3.1633394069555158e-27,0.0,3.1633394069555158e-27,3.1633394069555158e-27
162,2.0650513418012354e-27,0.0,2.0650513418012354e-27,2.0650513418012354e-27
163,1.7128977154536624e-27,0.0,1.7128977154536624e-27,1.7128977154536624e-27
164,1.1999120119426394e-27,0.0,1.1999120119426394e-27,1.1999120119426394e-27
165,8.990354367813193e-28,0.0,8.990354367813193e-28,8.990354367813193e-28
166,5.403282980984734e-28,0.0,5.403282980984734e-28,5.403282980984734e-28
167,3.94413151792606e-28,0.0,3.94413151792606e-28,3.94413151792606e-28
168,3.3184458592339075e-28,0.0,3.3184458592339075e-28,3.3184458592339075e-28
169,2.0048523139943078e-28,0.0,2.0048523139943078e-28,2.0048523139943078e-28
170,2.0048523139943078e-28,0.0,2.0048523139943078e-28,2.0048523139943078e-28
171,1.3444789046513354e-28,0.0,1.3444789046513354e-28,1.3444789046513354e-28
172,1.3444789046513354e-28,0.0,1.3444789046513354e-28,1.3444789046513354e-28
173,9.265893947177184e-29,0.0,9.265893947177184e-29,9.265893947177184e-29
174,7.020406675376194e-29,0.0,7.020406675376194e-29,7.020406675376194e-29
175,6.044814314831451e-29,0.0,6.044814314831451e-29,6.044814314831451e-29
176,4.331227975634874e-29,0.0,4.331227975634874e-29,4.331227975634874e-29
177,3.6132661099250654e-29,0.0,3.6132661099250654e-29,3.6132661099250654e-29
178,2.657171392462158e-29,0.0,2.657171392462158e-29,2.657171392462158e-29
179,2.657171392462158e-29,0.0,2.657171392462158e-29,2.657171392462158e-29
180,1.6509756115072017e-29,0.0,1.6509756115072017e-29,1.6509756115072017e-29
181,1.1322717935319431e-29,0.0,1.1322717935319431e-29,1.1322717935319431e-29
182,1.1322717935319431e-29,0.0,1.1322717935319431e-29,1.1322717935319431e-29
183,8.838089635866614e-30,0.0,8.838089635866614e-30,8.838089635866614e-30
