epoch,mean_best,std_best,min_best,max_best
0,198519327.79130146,0.0,198519327.79130146,198519327.79130146
1,143621185.7509526,0.0,143621185.7509526,143621185.7509526
2,102791207.35697031,0.0,102791207.35697031,102791207.35697031
3,80940866.45993337,0.0,80940866.45993337,80940866.45993337
4,70293065.82610174,0.0,70293065.82610174,70293065.82610174
5,48343941.3815498,0.0,48343941.3815498,48343941.3815498
6,37725739.60632897,0.0,37725739.60632897,37725739.60632897
7,27007792.348672345,0.0,27007792.348672345,27007792.348672345
8,23736784.251074493,0.0,23736784.251074493,23736784.251074493
9,16590167.468930418,0.0,16590167.468930418,16590167.468930418
10,14033398.735264126,0.0,14033398.735264126,14033398.735264126
11,10808912.346399471,0.0,10808912.346399471,10808912.346399471
12,9289734.71364749,0.0,9289734.71364749,9289734.71364749
13,7123825.622682479,0.0,7123825.622682479,7123825.622682479
14,6066196.426867042,0.0,6066196.426867042,6066196.426867042
15,5194076.161889473,0.0,5194076.161889473,5194076.161889473
16,4663065.7336757155,0.0,4663065.7336757155,4663065.7336757155
17,3549548.4016415523,0.0,3549548.4016415523,3549548.4016415523
18,3069075.479884542,0.0,3069075.479884542,3069075.479884542
19,2586293.207007495,0.0,2586293.207007495,2586293.207007495
20,2431628.997818886,0.0,2431628.997818886,2431628.997818886
21,2130951.721752095,0.0,2130951.721752095,2130951.721752095
22,1927532.5705417308,0.0,1927532.5705417308,1927532.5705417308
23,1602388.2697121361,0.0,1602388.2697121361,1602388.2697121361
24,1531574.3765615856,0.0,1531574.3765615856,1531574.3765615856
25,1381770.2146496344,0.0,1381770.2146496344,1381770.2146496344
26,1295605.079651062,0.0,1295605.079651062,1295605.079651062
27,1188586.6427900675,0.0,1188586.6427900675,1188586.6427900675
28,1140600.56031136,0.0,1140600.56031136,1140600.56031136
29,1048662.2421528283,0.0,1048662.2421528283,1048662.2421528283
30,1009328.4220774033,0.0,1009328.4220774033,1009328.4220774033
31,927195.9402044193,0.0,927195.9402044193,927195.9402044193
32,895994.8922818637,0.0,895994.8922818637,895994.8922818637
33,840070.634952343,0.0,840070.634952343,840070.634952343
34,775914.4442142189,0.0,775914.4442142189,775914.4442142189
35,708829.7809008101,0.0,708829.7809008101,708829.7809008101
36,705949.5022310974,0.0,705949.5022310974,705949.5022310974
37,673909.9436523898,0.0,673909.9436523898,673909.9436523898
38,561851.914722381,0.0,561851.914722381,561851.914722381
39,517212.7549421852,0.0,517212.7549421852,517212.7549421852
40,515629.68953188433,0.0,515629.68953188433,515629.68953188433
41,432695.1404026293,0.0,432695.1404026293,432695.1404026293
42,420518.8499727435,0.0,420518.8499727435,420518.8499727435
43,383687.11711200455,0.0,383687.11711200455,383687.11711200455
44,356744.8707027815,0.0,356744.8707027815,356744.8707027815
45,315569.32597072184,0.0,315569.32597072184,315569.32597072184
46,291386.32332973793,0.0,291386.32332973793,291386.32332973793
47,281363.2769219863,0.0,281363.2769219863,281363.2769219863
48,239014.86370955443,0.0,239014.86370955443,239014.86370955443
49,228795.5061528985,0.0,228795.5061528985,228795.5061528985
50,212759.5156442596,0.0,212759.5156442596,212759.5156442596
51,199487.8940673983,0.0,199487.8940673983,199487.8940673983
52,184522.98317246223,0.0,184522.98317246223,184522.98317246223
53,166513.32183799174,0.0,166513.32183799174,166513.32183799174
54,157382.9329058498,0.0,157382.9329058498,157382.9329058498
55,149774.33509032478,0.0,149774.33509032478,149774.33509032478
56,139629.15967630822,0.0,139629.15967630822,139629.15967630822
57,130887.76646879512,0.0,130887.76646879512,130887.76646879512
58,121432.2224342804,0.0,121432.2224342804,121432.2224342804
59,115468.99189819714,0.0,115468.99189819714,115468.99189819714
60,106756.23093962659,0.0,106756.23093962659,106756.23093962659
61,99708.60962502255,0.0,99708.60962502255,99708.60962502255
62,86365.08854828122,0.0,86365.08854828122,86365.08854828122
63,82120.0996798802,0.0,82120.0996798802,82120.0996798802
64,74156.60112179826,0.0,74156.60112179826,74156.60112179826
65,68902.04642626268,0.0,68902.04642626268,68902.04642626268
66,68902.04642626268,0.0,68902.04642626268,68902.04642626268
67,64677.726469036585,0.0,64677.726469036585,64677.726469036585
68,60412.46412512512,0.0,60412.46412512512,60412.46412512512
69,58135.474599684894,0.0,58135.474599684894,58135.474599684894
70,53269.67081339532,0.0,53269.67081339532,53269.67081339532
71,48685.48927243994,0.0,48685.48927243994,48685.48927243994
72,47480.32953657277,0.0,47480.32953657277,47480.32953657277
73,44200.99439979071,0.0,44200.99439979071,44200.99439979071
74,40146.940641562454,0.0,40146.940641562454,40146.940641562454
75,36810.04037882178,0.0,36810.04037882178,36810.04037882178
76,34860.227129901476,0.0,34860.227129901476,34860.227129901476
77,32625.072405441693,0.0,32625.072405441693,32625.072405441693
78,29933.26308792864,0.0,29933.26308792864,29933.26308792864
79,28592.313345956925,0.0,28592.313345956925,28592.313345956925
80,26542.029825865247,0.0,26542.029825865247,26542.029825865247
81,25887.92362077543,0.0,25887.92362077543,25887.92362077543
82,25292.993425554276,0.0,25292.993425554276,25292.993425554276
83,22733.920004142936,0.0,22733.920004142936,22733.920004142936
84,22247.925945709412,0.0,22247.925945709412,22247.925945709412
85,20861.84913141076,0.0,20861.84913141076,20861.84913141076
86,20098.44359814193,0.0,20098.44359814193,20098.44359814193
87,19222.549261992714,0.0,19222.549261992714,19222.549261992714
88,18088.13327821724,0.0,18088.13327821724,18088.13327821724
89,17563.77962240048,0.0,17563.77962240048,17563.77962240048
90,15916.012363011392,0.0,15916.012363011392,15916.012363011392
91,15030.712272690495,0.0,15030.712272690495,15030.712272690495
92,14898.904370562419,0.0,14898.904370562419,14898.904370562419
93,13631.84617981001,0.0,13631.84617981001,13631.84617981001
94,12506.292169119699,0.0,12506.292169119699,12506.292169119699
95,11874.568535865665,0.0,11874.568535865665,11874.568535865665
96,10971.306261627478,0.0,10971.306261627478,10971.306261627478
97,10291.95482431704,0.0,10291.95482431704,10291.95482431704
98,9893.52821827502,0.0,9893.52821827502,9893.52821827502
99,9165.427937231065,0.0,9165.427937231065,9165.427937231065
100,7867.259215066791,0.0,7867.259215066791,7867.259215066791
101,7214.7108797252595,0.0,7214.7108797252595,7214.7108797252595
102,7011.578200696077,0.0,7011.578200696077,7011.578200696077
103,6910.485811136188,0.0,6910.485811136188,6910.485811136188
104,6451.683172454301,0.0,6451.683172454301,6451.683172454301
105,6205.368131175439,0.0,6205.368131175439,6205.368131175439
106,5960.516962219368,0.0,5960.516962219368,5960.516962219368
107,5510.598650032698,0.0,5510.598650032698,5510.598650032698
