epoch,mean_best,std_best,min_best,max_best
0,-90.98426458038902,0.0,-90.98426458038902,-90.98426458038902
1,-157.7471309535418,0.0,-157.7471309535418,-157.7471309535418
2,-160.28383307297204,0.0,-160.28383307297204,-160.28383307297204
3,-195.57146766915778,0.0,-195.57146766915778,-195.57146766915778
4,-195.57146766915778,0.0,-195.57146766915778,-195.57146766915778
5,-198.74490796529565,0.0,-198.74490796529565,-198.74490796529565
6,-198.97183764924836,0.0,-198.97183764924836,-198.97183764924836
7,-199.68652337401238,0.0,-199.68652337401238,-199.68652337401238
8,-199.68652337401238,0.0,-199.68652337401238,-199.68652337401238
9,-199.75027280211054,0.0,-199.75027280211054,-199.75027280211054
10,-199.86017321031494,0.0,-199.86017321031494,-199.86017321031494
11,-199.95579501379729,0.0,-199.95579501379729,-199.95579501379729
12,-199.98631867205506,0.0,-199.98631867205506,-199.98631867205506
13,-199.99395893976867,0.0,-199.99395893976867,-199.99395893976867
14,-199.99716095625058,0.0,-199.99716095625058,-199.99716095625058
15,-199.99903982799415,0.0,-199.99903982799415,-199.99903982799415
16,-199.99903982799415,0.0,-199.99903982799415,-199.99903982799415
17,-199.99903982799415,0.0,-199.99903982799415,-199.99903982799415
18,-199.9998626351657,0.0,-199.9998626351657,-199.9998626351657
19,-199.99990676302514,0.0,-199.99990676302514,-199.99990676302514
20,-199.99992804272938,0.0,-199.99992804272938,-199.99992804272938
21,-199.99995886067316,0.0,-199.99995886067316,-199.99995886067316
22,-199.99997942097642,0.0,-199.99997942097642,-199.99997942097642
23,-199.99997942097642,0.0,-199.99997942097642,-199.99997942097642
24,-199.99997942097642,0.0,-199.99997942097642,-199.99997942097642
25,-199.99997942097642,0.0,-199.99997942097642,-199.99997942097642
26,-199.99999491885094,0.0,-199.99999491885094,-199.99999491885094
27,-199.99999650684,0.0,-199.99999650684,-199.99999650684
28,-199.99999852556542,0.0,-199.99999852556542,-199.99999852556542
29,-199.99999867419498,0.0,-199.99999867419498,-199.99999867419498
30,-199.999999044284,0.0,-199.999999044284,-199.999999044284
31,-199.9999990770661,0.0,-199.9999990770661,-199.9999990770661
32,-199.99999917634022,0.0,-199.99999917634022,-199.99999917634022
33,-199.99999939725183,0.0,-199.99999939725183,-199.99999939725183
34,-199.99999941289528,0.0,-199.99999941289528,-199.99999941289528
35,-199.99999943549224,0.0,-199.99999943549224,-199.99999943549224
36,-199.9999995094778,0.0,-199.9999995094778,-199.9999995094778
37,-199.9999995219854,0.0,-199.9999995219854,-199.9999995219854
38,-199.9999995219854,0.0,-199.9999995219854,-199.9999995219854
39,-199.9999995226215,0.0,-199.9999995226215,-199.9999995226215
40,-199.9999995226424,0.0,-199.9999995226424,-199.9999995226424
41,-199.99999952264588,0.0,-199.99999952264588,-199.99999952264588
42,-199.99999952264596,0.0,-199.99999952264596,-199.99999952264596
43,-199.99999952264596,0.0,-199.99999952264596,-199.99999952264596
44,-199.999999522646,0.0,-199.999999522646,-199.999999522646
45,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
46,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
47,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
48,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
49,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
50,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
51,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
52,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
53,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
54,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
55,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
56,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
57,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
58,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
59,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
60,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
61,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
62,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
63,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
64,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
65,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
66,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
67,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
68,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
69,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
70,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
71,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
72,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
73,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
74,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
75,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
76,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
77,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
78,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
79,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
80,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
81,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
82,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
83,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
84,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
85,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
86,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
87,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
88,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
89,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
90,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
91,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
92,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
93,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
94,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
95,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
96,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
97,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
98,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
99,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
100,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
101,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
102,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
103,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
104,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
105,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
106,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
107,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
108,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
109,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
110,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
111,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
112,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
113,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
114,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
115,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
116,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
117,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
118,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
119,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
120,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
121,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
122,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
123,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
124,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
125,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
126,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
127,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
128,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
129,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
130,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
131,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
132,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
133,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
134,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
135,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
136,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
137,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
138,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
139,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
140,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
141,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
142,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
143,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
144,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
145,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
146,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
147,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
148,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
149,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
150,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
151,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
152,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
153,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
154,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
155,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
156,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
157,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
158,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
159,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
160,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
161,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
162,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
163,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
164,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
165,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
166,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
167,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
168,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
169,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
170,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
171,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
172,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
173,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
174,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
175,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
176,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
177,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
178,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
179,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
180,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
181,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
182,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
183,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
184,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
185,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
186,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
187,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
188,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
189,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
190,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
191,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
192,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
193,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
194,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
195,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
196,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
197,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
198,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
199,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
200,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
201,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
202,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
203,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
204,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
205,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
206,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
207,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
208,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
209,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
210,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
211,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
212,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
213,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
214,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
215,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
216,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
217,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
218,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
219,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
220,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
221,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
222,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
223,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
224,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
225,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
226,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
227,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
228,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
229,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
230,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
231,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
232,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
233,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
234,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
235,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
236,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
237,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
238,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
239,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
240,-199.99999952264602,0.0,-199.99999952264602,-199.99999952264602
